"id","run","nifti"
203264,1,"nfasm-sub-203264_task-clock_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
203264,2,"nfasm-sub-203264_task-clock_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
203521,1,"nfasm-sub-203521_task-clock_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
203521,2,"nfasm-sub-203521_task-clock_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
204252,1,"nfasm-sub-204252_task-clock_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
204252,2,"nfasm-sub-204252_task-clock_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
206468,1,"nfasm-sub-206468_task-clock_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
206468,2,"nfasm-sub-206468_task-clock_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
211858,1,"nfasm-sub-211858_task-clock_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
211858,2,"nfasm-sub-211858_task-clock_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
211973,1,"nfasm-sub-211973_task-clock_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
211973,2,"nfasm-sub-211973_task-clock_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
212298,1,"nfasm-sub-212298_task-clock_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
212298,2,"nfasm-sub-212298_task-clock_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
216347,1,"nfasm-sub-216347_task-clock_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
216347,2,"nfasm-sub-216347_task-clock_run-2_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
217234,1,"nfasm-sub-217234_task-clock_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
