"id","run","nifti"
203264,1,NA
203521,1,"nfasm-sub-203521_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
204252,1,"nfasm-sub-204252_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
206468,1,"nfasm-sub-206468_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
211858,1,"nfasm-sub-211858_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
211973,1,"nfasm-sub-211973_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
212298,1,"nfasm-sub-212298_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
216347,1,"nfasm-sub-216347_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
217234,1,"nfasm-sub-217234_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
218135,1,"nfasm-sub-218135_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
218275,1,"nfasm-sub-218275_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
218758,1,"nfasm-sub-218758_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
218832,1,"nfasm-sub-218832_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
219039,1,"nfasm-sub-219039_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
219084,1,"nfasm-sub-219084_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
219475,1,"nfasm-sub-219475_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
219757,1,NA
219962,1,"nfasm-sub-219962_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
220184,1,NA
220256,1,"nfasm-sub-220256_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
220392,1,"nfasm-sub-220392_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
220403,1,"nfasm-sub-220403_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
220419,1,"nfasm-sub-220419_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
220487,1,"nfasm-sub-220487_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
220521,1,"nfasm-sub-220521_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
220525,1,"nfasm-sub-220525_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
220530,1,"nfasm-sub-220530_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
220562,1,"nfasm-sub-220562_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
220590,1,"nfasm-sub-220590_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
220622,1,"nfasm-sub-220622_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
220625,1,"nfasm-sub-220625_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
220637,1,"nfasm-sub-220637_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
220643,1,"nfasm-sub-220643_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
220686,1,"nfasm-sub-220686_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
220691,1,"nfasm-sub-220691_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
220756,1,"nfasm-sub-220756_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
220762,1,"nfasm-sub-220762_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
220831,1,"nfasm-sub-220831_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
220875,1,"nfasm-sub-220875_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
220886,1,"nfasm-sub-220886_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
220903,1,"nfasm-sub-220903_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
220920,1,"nfasm-sub-220920_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
220955,1,"nfasm-sub-220955_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221193,1,"nfasm-sub-221193_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221256,1,"nfasm-sub-221256_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221257,1,"nfasm-sub-221257_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221322,1,"nfasm-sub-221322_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221386,1,"nfasm-sub-221386_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221389,1,"nfasm-sub-221389_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221408,1,"nfasm-sub-221408_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221409,1,"nfasm-sub-221409_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221451,1,"nfasm-sub-221451_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221452,1,"nfasm-sub-221452_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221465,1,"nfasm-sub-221465_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221471,1,"nfasm-sub-221471_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221473,1,"nfasm-sub-221473_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221475,1,"nfasm-sub-221475_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221485,1,"nfasm-sub-221485_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221486,1,"nfasm-sub-221486_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221489,1,"nfasm-sub-221489_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221490,1,"nfasm-sub-221490_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221503,1,"nfasm-sub-221503_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221504,1,"nfasm-sub-221504_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221507,1,"nfasm-sub-221507_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221518,1,"nfasm-sub-221518_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221541,1,"nfasm-sub-221541_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221546,1,"nfasm-sub-221546_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221549,1,"nfasm-sub-221549_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
221550,1,"nfasm-sub-221550_task-trust_run-1_space-MNI152NLin2009cAsym_desc-preproc_bold.nii.gz"
