"id","decision","t_decides","p_button","trial","trustee","block","pchoice_onset","pchoice_offset","pchoice_rt","dchoice_onset","dchoice_offset","iti_onset","outcome_onset","outcome_offset","first_fixation","pchoice_duration","dchoice_duration","outcome_duration","trustee_dummy","noresponse","comp","trial_cwc","trial_cnc","model","Qshare","pshare_pred","R2","alpha_transformed","beta_transformed","kappaS_transformed","kappaT_bad_transformed","kappaT_good_transformed","kappaT_computer_transformed","PE_mult_z","V_mult_z","p_decides","reward","run"
203521,-1,"keep",7,49,"bad",50,254.324,256.569,2.239,256.593,256.792,258.094,256.893,257.992,151.761,2.245,0.199,1.099,-1,0,1,49,1,"policy",0.421923452,0.534061976,0.398401365,0.638378456,3.38561954,0.082270515,-0.142116252,-0.096934279,0.077578136,1.667928336,-1.88951163,0,1,NA
203521,-1,"share",2,50,"bad",50,259.379,260.419,1.03,260.446,260.645,261.948,260.747,261.846,151.761,1.04,0.199,1.099,-1,0,1,50,2,"policy",0.076520487,0.384024111,0.398401365,0.638378456,3.38561954,0.082270515,-0.142116252,-0.096934279,0.077578136,-0.683776544,-1.224033401,0,1,NA
203521,1,"keep",7,51,"bad",50,264.467,265.09,0.614,265.117,265.316,266.618,265.417,266.516,151.761,0.623,0.199,1.099,-1,0,1,51,3,"policy",0.179388949,0.414540996,0.398401365,0.638378456,3.38561954,0.082270515,-0.142116252,-0.096934279,0.077578136,-0.372717669,-0.730979851,1,0,NA
203521,0,"share",NA,52,"bad",50,269.137,271.736,0,271.84,272.039,273.341,272.14,273.239,151.761,2.599,0.199,1.099,-1,1,1,52,4,"policy",0.135813133,0.401518924,0.398401365,0.638378456,3.38561954,0.082270515,-0.142116252,-0.096934279,0.077578136,-0.144111844,-1.07660352,NA,1,NA
203521,-1,"keep",7,53,"bad",50,273.591,274.65,1.056,274.676,274.875,276.177,274.976,276.075,151.761,1.059,0.199,1.099,-1,0,1,53,5,"policy",0.224278672,0.428081561,0.398401365,0.638378456,3.38561954,0.082270515,-0.142116252,-0.096934279,0.077578136,1.416058038,-1.508714962,0,1,NA
203521,-1,"share",7,54,"bad",50,278.929,279.341,0.408,279.363,279.562,280.864,279.663,280.762,151.761,0.412,0.199,1.099,-1,0,1,54,6,"policy",-0.073113908,0.341269113,0.398401365,0.638378456,3.38561954,0.082270515,-0.142116252,-0.096934279,0.077578136,-0.874464401,-0.935736999,0,1,NA
203521,1,"keep",2,55,"bad",50,284.167,284.491,0.317,284.518,284.717,286.019,284.818,285.917,151.761,0.324,0.199,1.099,-1,0,1,55,7,"policy",0.066102618,0.380979596,0.398401365,0.638378456,3.38561954,0.082270515,-0.142116252,-0.096934279,0.077578136,-0.228350274,-0.949245456,1,0,NA
203521,-1,"keep",2,56,"bad",50,289.155,289.391,0.234,289.422,289.621,290.923,289.722,290.821,151.761,0.236,0.199,1.099,-1,0,1,56,8,"policy",0.050045466,0.3763054,0.398401365,0.638378456,3.38561954,0.082270515,-0.142116252,-0.096934279,0.077578136,1.194022479,-1.17302472,0,1,NA
203521,1,"share",2,57,"bad",50,293.742,294.662,0.915,294.693,294.892,296.194,294.993,296.092,151.761,0.92,0.199,1.099,-1,0,1,57,9,"policy",-0.205023692,0.305582307,0.398401365,0.638378456,3.38561954,0.082270515,-0.142116252,-0.096934279,0.077578136,2.028699521,-1.471616931,1,1.5,NA
203521,1,"keep",7,58,"bad",50,299.481,300.162,0.673,300.181,300.38,301.683,300.482,301.581,151.761,0.681,0.199,1.099,-1,0,1,58,10,"policy",0.209147858,0.423504385,0.398401365,0.638378456,3.38561954,0.082270515,-0.142116252,-0.096934279,0.077578136,-0.410641185,-0.673644195,1,0,NA
203521,1,"share",7,59,"bad",50,304.919,305.482,0.557,305.503,305.702,307.004,305.803,306.902,151.761,0.563,0.199,1.099,-1,0,1,59,11,"policy",0.158343231,0.40823564,0.398401365,0.638378456,3.38561954,0.082270515,-0.142116252,-0.096934279,0.077578136,1.565639809,-0.771528048,1,1.5,NA
203521,1,"keep",7,60,"bad",50,310.107,310.643,0.535,310.674,310.873,312.175,310.974,312.073,151.761,0.536,0.199,1.099,-1,0,1,60,12,"policy",0.484248416,0.507993195,0.398401365,0.638378456,3.38561954,0.082270515,-0.142116252,-0.096934279,0.077578136,-0.761217909,-0.143615645,1,0,NA
203521,1,"share",7,61,"bad",50,314.727,315.473,0.743,315.495,315.694,316.996,315.795,316.894,151.761,0.746,0.199,1.099,-1,0,1,61,13,"policy",0.366618428,0.471638728,0.398401365,0.638378456,3.38561954,0.082270515,-0.142116252,-0.096934279,0.077578136,1.30022255,-0.370250053,1,1.5,NA
203521,1,"share",2,62,"bad",50,319.281,320.134,0.847,320.166,320.365,321.667,320.466,321.565,151.761,0.853,0.199,1.099,-1,0,1,62,14,"policy",0.641930967,0.556525986,0.398401365,0.638378456,3.38561954,0.082270515,-0.142116252,-0.096934279,0.077578136,0.949375687,0.160186913,1,1.5,NA
203521,1,"share",2,63,"bad",50,324.019,324.494,0.47,324.519,324.718,326.021,324.82,325.919,151.761,0.475,0.199,1.099,-1,0,1,63,15,"policy",0.850366652,0.618920826,0.398401365,0.638378456,3.38561954,0.082270515,-0.142116252,-0.096934279,0.077578136,0.683753909,0.561774115,1,1.5,NA
203521,1,"keep",7,64,"bad",50,329.574,330.334,0.759,330.358,330.557,331.859,330.658,331.757,151.761,0.76,0.199,1.099,-1,0,1,64,16,"policy",1.008170706,0.663787728,0.398401365,0.638378456,3.38561954,0.082270515,-0.142116252,-0.096934279,0.077578136,-1.428882711,0.86581077,1,0,NA
203521,1,"keep",7,65,"bad",25,333.961,334.725,0.758,334.745,334.944,336.246,335.045,336.144,151.761,0.764,0.199,1.099,-1,0,1,65,17,"policy",0.76327345,0.593200155,0.398401365,0.638378456,3.38561954,0.082270515,-0.142116252,-0.096934279,0.077578136,-1.116795821,0.393974079,1,0,NA
203521,1,"share",2,66,"bad",25,339.132,340.085,0.946,340.116,340.315,341.618,340.417,341.516,151.761,0.953,0.199,1.099,-1,0,1,66,18,"policy",0.577864796,0.536884419,0.398401365,0.638378456,3.38561954,0.082270515,-0.142116252,-0.096934279,0.077578136,1.031018954,0.036752414,1,1.5,NA
203521,1,"keep",2,67,"bad",25,343.87,344.455,0.583,344.487,344.686,345.988,344.787,345.886,151.761,0.585,0.199,1.099,-1,0,1,67,19,"policy",0.801862954,0.604668811,0.398401365,0.638378456,3.38561954,0.082270515,-0.142116252,-0.096934279,0.077578136,-1.165972682,0.468323397,1,0,NA
203521,-1,"keep",2,68,"bad",25,349.608,350.006,0.391,350.025,350.224,351.527,350.325,351.424,151.761,0.398,0.199,1.099,-1,0,1,68,20,"policy",0.607080428,0.545859355,0.398401365,0.638378456,3.38561954,0.082270515,-0.142116252,-0.096934279,0.077578136,1.903884694,-2.246248395,0,1,NA
203521,1,"keep",7,69,"bad",25,354.112,356.056,1.936,356.081,356.28,357.582,356.381,357.48,151.761,1.944,0.199,1.099,-1,0,1,69,21,"policy",0.216700521,0.425787528,0.398401365,0.638378456,3.38561954,0.082270515,-0.142116252,-0.096934279,0.077578136,-0.420265985,-0.659092691,1,0,NA
